States,x,y
Andhra Pradesh,-44,-87
Arunachal Pradesh,156,99
Assam,133,67
Bihar,47,55
Chhattisgarh,-13,-13
Goa,-117,-99
Gujarat,-146,14
Haryana,-82,101
Himachal Pradesh,-71,137
Jharkhand,36,19
Karnataka,-87,-115
Kerala,-84,-168
Madhya Pradesh,-55,14
Maharashtra,-102,-43
Manipur,150,45
Meghalaya,104,53
Mizoram,136,22
Nagaland,156,65
Odisha,37,-19
Punjab,-99,125
Rajasthan,-107,73
Sikkim,73,82
Tamil Nadu,-50,-161
Tripura,119,26
Uttar Pradesh,-44,83
Uttarakhand,-47,115
West Bengal,64,13
Jammu and Kashmir,-77,184
